"record type","record ID","displayed name","period","verification status","spatial precision","source count","claim count","license","current warning","historian decision","cartographer decision","corrected date","corrected source","corrected geometry required","reviewer comment"
"places","balasagun","Баласагун","500–1400","needs_review","approximate","1","0","not_applicable","educational_reconstruction","","","","","",""
"places","ispidjab","Испиджаб","500–1200","needs_review","approximate","1","0","not_applicable","educational_reconstruction","","","","","",""
"routes","silk-road-southern-kazakhstan","Великий Шёлковый путь — южноказахстанское направление","-200–1500","needs_review","schematic","2","1","not_applicable","educational_reconstruction","","","","","",""
"routes","nomadic-seasonal-cycle-demo","Демонстрационный сезонный цикл","-3000–2026","needs_review","schematic","0","0","not_applicable","educational_reconstruction","","","","","",""
"routeSegments","silk-sayram-taraz","silk-sayram-taraz","700–1500","needs_review","schematic","1","0","not_applicable","scientific_review_required","","","","","",""
"routeSegments","silk-taraz-otrar","silk-taraz-otrar","700–1500","needs_review","schematic","1","0","not_applicable","scientific_review_required","","","","","",""
"routeSegments","silk-otrar-turkistan","silk-otrar-turkistan","700–1500","needs_review","schematic","1","0","not_applicable","scientific_review_required","","","","","",""
"routeSegments","silk-turkistan-syganak","silk-turkistan-syganak","700–1500","needs_review","schematic","1","0","not_applicable","scientific_review_required","","","","","",""
"environment","southern-steppe-medieval-demo","Степная зона Южного Казахстана","500–1500","needs_review","unknown","1","1","not_applicable","educational_reconstruction","","","","","",""
"environment","tian-shan-foothills-medieval-demo","Предгорья Тянь-Шаня","500–1500","demo_only","unknown","1","0","not_applicable","demo_only","","","","","",""
"environment","syr-darya-valley-medieval-demo","Долина Сырдарьи","700–1500","needs_review","unknown","1","0","not_applicable","educational_reconstruction","","","","","",""
"hydrology","aral-sea-historical-coarse","Аральское море","500–1959","needs_review","generalized","0","0","not_applicable","educational_reconstruction","","","","","",""
"hydrology","aral-sea-circa-1960-demo","Аральское море","1960–1984","demo_only","generalized","0","0","not_applicable","demo_only","","","","","",""
"hydrology","aral-sea-circa-1985-demo","Аральское море","1985–1999","needs_review","generalized","0","0","not_applicable","educational_reconstruction","","","","","",""
"hydrology","aral-sea-circa-2000-demo","Аральское море","2000–2009","needs_review","generalized","0","0","not_applicable","educational_reconstruction","","","","","",""
"hydrology","aral-sea-circa-2010-demo","Аральское море","2010–2014","needs_review","generalized","0","0","not_applicable","educational_reconstruction","","","","","",""
"hydrology","aral-sea-modern-demo","Аральское море","2015–","needs_review","generalized","0","0","not_applicable","educational_reconstruction","","","","","",""
"rivers","syr-darya-medieval","Сырдарья","500–1500","needs_review","generalized","1","0","not_applicable","educational_reconstruction","","","","","",""
"rivers","ili-medieval","Или","500–1500","needs_review","generalized","1","0","not_applicable","educational_reconstruction","","","","","",""
"rivers","irtysh-medieval","Иртыш","500–1500","needs_review","generalized","1","0","not_applicable","educational_reconstruction","","","","","",""
"rivers","ural-medieval","Урал","500–1500","needs_review","generalized","1","0","not_applicable","educational_reconstruction","","","","","",""
"rivers","chu-medieval","Чу","500–1500","needs_review","generalized","1","0","not_applicable","educational_reconstruction","","","","","",""
"rivers","talas-medieval","Талас","500–1500","needs_review","generalized","1","0","not_applicable","educational_reconstruction","","","","","",""
"archiveMaps","qhm-evidence-overlay-demo","Учебная схема анализа исторических границ","1400–1550","reviewed","approximate","1","0","permission_granted","exhibition_ready","","","","","",""
"archiveMaps","future-institutional-archive-placeholder","Будущее подключение архивной коллекции","–","needs_review","unknown","1","0","unknown","scientific_review_required","","","","","",""
"claims","claim-khanate-foundation-1465","Формирование Казахского ханства традиционно датируют приблизительно 1465–1466 годами","–","reviewed","unknown","2","0","not_applicable","exhibition_ready","","","","","",""
"claims","claim-independence-1991","Конституционный закон о государственной независимости принят 16 декабря 1991 года","–","verified","unknown","1","0","not_applicable","exhibition_ready","","","","","",""
"claims","claim-khanate-1465-territory","Контур 1465 года показывает интерпретируемый охват, а не точную государственную границу","–","needs_review","unknown","2","0","not_applicable","scientific_review_required","","","","","",""
"claims","claim-otrar-location","Отырар показан приблизительной точкой исторического центра","–","needs_review","unknown","1","0","not_applicable","scientific_review_required","","","","","",""
"claims","claim-silk-road-direction","Линия показывает реконструированное южноказахстанское направление Шёлкового пути","–","needs_review","unknown","2","0","not_applicable","scientific_review_required","","","","","",""
"claims","claim-steppe-demo-status","Природная зона является образовательной схемой и требует научной проверки","–","needs_review","unknown","1","0","not_applicable","scientific_review_required","","","","","",""
"claims","claim-change-1511-1521","Отображаемые контуры 1511 и 1521 годов различаются, но разница не доказывает точную динамику границ","–","needs_review","unknown","2","0","not_applicable","scientific_review_required","","","","","",""
"claims","claim-overlay-educational","Демонстрационная карта создана проектом для обучения анализу источников и не является архивным оригиналом","–","reviewed","unknown","1","0","not_applicable","exhibition_ready","","","","","",""
"historicalChanges","kazakh-khanate-1465-to-1511","Образование и укрепление Казахского ханства","1465–1511","reviewed","unknown","3","0","not_applicable","exhibition_ready","","","","","",""
"historicalChanges","kazakh-khanate-1511-to-1521","Казахское ханство в период правления Касым хана","1511–1521","needs_review","unknown","2","0","not_applicable","scientific_review_required","","","","","",""
"historicalChanges","kazakh-ssr-1936-to-independence-1991","От Казахской ССР к независимому Казахстану","1936–1991","verified","unknown","3","0","not_applicable","exhibition_ready","","","","","",""
"stories","formation-and-consolidation-kazakh-khanate","Формирование и укрепление Казахского ханства","–","reviewed","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"stories","silk-road-geography","Как география влияла на развитие городов Великого Шёлкового пути","–","needs_review","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"stories","historical-evidence","Как историки восстанавливают карту прошлого","–","reviewed","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"questions","reconstruction-boundaries","Почему исторические границы отображаются как реконструкция?","–","missing","unknown","2","0","not_applicable","scientific_review_required","","","","","",""
"questions","compare-1465-1511","Какое изменение видно между реконструкциями 1465 и 1511 годов?","–","missing","unknown","2","0","not_applicable","scientific_review_required","","","","","",""
"questions","formation-sources","Какие источники помогают установить принятую датировку образования ханства?","–","missing","unknown","2","0","not_applicable","scientific_review_required","","","","","",""
"questions","kasym-person","Какая личность связана с укреплением ханства в начале XVI века?","–","missing","unknown","2","0","not_applicable","scientific_review_required","","","","","",""
"questions","geography-river-cities","Почему многие исторические города развивались возле рек и маршрутов?","–","reviewed","unknown","1","0","not_applicable","exhibition_ready","","","","","",""
"questions","geography-caravan-conditions","Какие природные условия могли помогать караванному движению?","–","reviewed","unknown","1","0","not_applicable","exhibition_ready","","","","","",""
"questions","geography-cultural-links","Как торговые направления связывали разные культуры?","–","reviewed","unknown","2","0","not_applicable","exhibition_ready","","","","","",""
"questions","geography-route-reconstruction","Почему исторический маршрут показан как реконструкция?","–","needs_review","unknown","1","0","not_applicable","scientific_review_required","","","","","",""
"questions","evidence-fact-interpretation","Чем факт отличается от интерпретации?","–","reviewed","unknown","2","0","not_applicable","exhibition_ready","","","","","",""
"questions","evidence-boundary-versions","Почему исторические границы могут различаться в разных источниках?","–","reviewed","unknown","2","0","not_applicable","exhibition_ready","","","","","",""
"questions","evidence-archaeological-place","Какой источник лучше подтверждает археологическое место?","–","reviewed","unknown","1","0","not_applicable","exhibition_ready","","","","","",""
"questions","evidence-map-alignment","Можно ли считать совпадение двух карт доказательством?","–","reviewed","unknown","1","0","not_applicable","exhibition_ready","","","","","",""
"questions","evidence-publication-check","Что нужно проверить перед публикацией карты?","–","reviewed","unknown","1","0","not_applicable","exhibition_ready","","","","","",""
